Title,Rating,Year,Month,Runtime,Directors,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting,Lead_Top,Supporting_Top
The King's Man,6.3,2021,12,131,Matthew Vaughn,100000000.0,125897478.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ralph Fiennes, Gemma Arterton,1,0
Sing 2,7.4,2021,12,110,Garth Jennings,85000000.0,407514912.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew McConaughey, Reese Witherspoon,1,0
Mortal Kombat,6.1,2021,4,110,Simon McQuoid,55000000.0,84416731.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lewis Tan, Jessica McNamee,0,0
Last Night in Soho,7.1,2021,10,116,Edgar Wright,43000000.0,22957625.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Thomasin McKenzie, Anya Taylor Joy,0,0
Nobody,7.4,2021,3,92,Ilya Naishuller,16000000.0,57510518.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bob Odenkirk, Aleksey Serebryakov,0,0
Nightmare Alley,7.0,2021,12,150,Guillermo del Toro,60000000.0,39629195.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Bradley Cooper, Cate Blanchett,1,0
Eternals,6.3,2021,11,156,Chlo Zhao,200000000.0,402064899.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Gemma Chan, Richard Madden,0,0
The Worst Person in the World,7.8,2021,10,128,Joachim Trier,5300000.0,12678166.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Renate Reinsve, Anders Danielsen Lie,0,0
Free Guy,7.1,2021,8,115,Shawn Levy,120000000.0,331526598.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Reynolds, Jodie Comer,1,0
Pleasure,6.4,2021,10,109,Ninja Thyberg,1786000.0,393824.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sofia Kappel, Zelda Morrison,0,0
House of Gucci,6.6,2021,11,158,Ridley Scott,75000000.0,153265068.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lady Gaga, Adam Driver,0,0
Encanto,7.2,2021,11,102,Jared Bush,50000000.0,256786742.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephanie Beatriz, Mar a Cecilia Botero,0,0
The Matrix Resurrections,5.7,2021,12,148,Lana Wachowski,190000000.0,157297525.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Keanu Reeves, Carrie Anne Moss,1,0
Ghostbusters: Afterlife,7.1,2021,11,124,Jason Reitman,75000000.0,204334455.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Carrie Coon, Paul Rudd,0,0
Wrath of Man,7.1,2021,5,119,Guy Ritchie,40000000.0,103966489.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Jason Statham, Holt McCallany,1,0
Black Widow,6.7,2021,7,134,Cate Shortland,200000000.0,379751655.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Scarlett Johansson, Florence Pugh,1,0
