Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Country_of_origin,top_50_director_1,top_50_director_2,top_1000_Stars_1,top_1000_Stars_2,top_1000_Stars_3,top_1000_Stars_4,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,Budget_inf,Income_inf,Profit_inf,ROI_inf
RRR,7.9,2022,3,Not Rated,187.0,S S Rajamouli,"N T Rama Rao Jr , Ram Charan Teja, Ajay Devgn, Alia Bhatt",India,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42000000.0,102973162.0,60973162.0,0.5921267329831048
Whitney Houston: I Wanna Dance with Somebody,6.8,2022,12,PG-13,146.0,Kasi Lemmons,"Naomi Ackie, Stanley Tucci, Ashton Sanders, Tamara Tunie",United States,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2730000.0,0.0,0.0
Decision to Leave,7.3,2022,6,,139.0,Park Chan wook,"Park Hae il, Tang Wei, Lee Jung hyun, Go Kyung Pyo",South Korea,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10000000.0,21661216.0,11661216.0,0.5383454003690282
Fall,6.4,2022,8,PG-13,107.0,Scott Mann,"Grace Caroline Currey, Virginia Gardner, Mason Gooding, Jeffrey Dean Morgan","United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3000000.0,17377065.0,14377065.0,0.8273586477348159
Drishyam 2,8.6,2022,11,,140.0,Abhishek Pathak,"Ajay Devgn, Tabu, Akshaye Khanna, Shriya Saran",India,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,2776721.0,0.0,0.0
Uncharted,6.3,2022,2,PG-13,116.0,Ruben Fleischer,"Tom Holland, Mark Wahlberg, Antonio Banderas, Sophia Ali","Spain, United States",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000000.0,401748820.0,281748820.0,0.7013059055157896
Death on the Nile,6.3,2022,2,PG-13,127.0,Kenneth Branagh,"Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand","United States, United Kingdom",0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,90000000.0,137307235.0,47307235.0,0.3445356320808587
Blonde,5.5,2022,9,NC-17,167.0,Andrew Dominik,"Ana de Armas, Lily Fisher, Julianne Nicholson, Tygh Runyan",United States,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,22000000.0,0.0,0.0,0.0
Corsage,6.7,2022,12,,113.0,Marie Kreutzer,"Vicky Krieps, Colin Morgan, Ivana Urban, Alma Hasun","Austria, Luxembourg, Germany, France",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7950000.0,1259206.0,-6690794.0,-5.313502318127455
Jurassic World: Dominion,5.7,2022,6,PG-13,147.0,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill","United States, China, Malta",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,165000000.0,1001136080.0,836136080.0,0.8351872404798356
