Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Filming_location,Budget,Income,Country_of_origin, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller
Puss in Boots: The Last Wish,7.7,2022,December,PG,100,"Joel Crawford, Januel Mercado","Antonio Banderas, Salma Hayek, Harvey Guill n, Florence Pugh",Unknown,Unknown,"$28,563,190 ",United States,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
All Quiet on the Western Front,7.8,2022,October,R,148,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus",Belgium,Unknown,Unknown,"Germany, United States, United Kingdom",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tár,7.8,2022,October,R,158,Todd Field,"Cate Blanchett, No mie Merlant, Nina Hoss, Sophie Kauer",Germany,"$35,000,000 ","$5,493,533 ",United States,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Falling for Christmas,5.2,2022,November,TV-PG,93,Janeen Damian,"Lindsay Lohan, Chord Overstreet, George Young, Jack Wagner",USA,Unknown,Unknown,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Scrooge: A Christmas Carol,6.1,2022,December,TV-Y7,96,Stephen Donnelly,"Luke Evans, Olivia Colman, Jessie Buckley, Johnny Flynn",Unknown,Unknown,Unknown,"United Kingdom, United States",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Swimmers,7.4,2022,November,PG-13,134,Sally El Hosaini,"Matthias Schweigh fer, Manal Issa, Nathalie Issa, Ali Suliman",Turkey,Unknown,Unknown,"United Kingdom, United States",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Christmas Bloody Christmas,5.2,2022,December,Not Rated,86,Joe Begos,"Riley Dandy, Sam Delich, Jonah Ray, Dora Madison",USA,Unknown,"$190,662 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kantara,8.5,2022,September,,148,Rishab Shetty,"Rishab Shetty, Kishore Kumar G , Achyuth Kumar, Sapthami Gowda",Unknown,"$2,000,000 ","$2,406,221 ",India,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nope,6.9,2022,July,R,130,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Steven Yeun, Brandon Perea",USA,"$68,000,000 ","$171,235,592 ","United States, Canada, Japan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Where the Crawdads Sing,7.1,2022,July,PG-13,125,Olivia Newman,"Daisy Edgar Jones, Taylor John Smith, Harris Dickinson, David Strathairn",USA,"$24,000,000 ","$140,230,760 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scream,6.3,2022,January,R,114,"Matt Bettinelli Olpin, Tyler Gillett","Neve Campbell, Courteney Cox, David Arquette, Melissa Barrera",USA,"$24,000,000 ","$140,041,405 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strange World,5.1,2022,November,PG,102,"Don Hall, Qui Nguyen","Jake Gyllenhaal, Jaboukie Young White, Gabrielle Union, Dennis Quaid",USA,"$120,000,000 ","$62,170,845 ",United States,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Wonder,6.6,2022,November,R,108,Sebasti n Lelio,"Florence Pugh, Tom Burke, K la Lord Cassidy, Niamh Algar",Ireland,Unknown,Unknown,"Ireland, United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Freddy,8.0,2022,December,,124,Shashanka Ghosh,"Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz",Unknown,Unknown,Unknown,India,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Doctor G,6.9,2022,October,,124,Anubhuti Kashyap,"Rakul Preet Singh, Ayushmann Khurrana, Shefali Shah, Ayesha Kaduskar",Unknown,Unknown,"$2,171,942 ",India,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I Believe in Santa,4.4,2022,December,PG,89,Alex Ranarivelo,"Christina Moore, John Ducey, Violet McGraw, Sachin Bhatt",Unknown,Unknown,Unknown,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
This Is Christmas,6.9,2022,December,,111,Chris Foggin,"Alfred Enoch, Laura Aikman, Kriss Dillon, Jack Donoghue",UK,"$9,000,000 ",Unknown,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pearl,7.0,2022,September,R,103,Ti West,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland",New Zealand,Unknown,"$9,423,445 ","United States, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Woman King,6.7,2022,September,PG-13,135,Gina Prince Bythewood,"Viola Davis, Thuso Mbedu, Lashana Lynch, Sheila Atim",South Africa,"$50,000,000 ","$92,272,486 ",United States,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Your Christmas or Mine?,6.4,2022,December,,95,Jim O Hanlon,"Asa Butterfield, Cora Kirk, Daniel Mays, Angela Griffin",UK,Unknown,Unknown,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Disenchanted,5.7,2022,November,PG,119,Adam Shankman,"Amy Adams, Patrick Dempsey, Maya Rudolph, Gabriella Baldacchino",Ireland,Unknown,Unknown,United States,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
White Noise,6.6,2022,December,R,136,Noah Baumbach,"Adam Driver, Greta Gerwig, Don Cheadle, Madison Gaughan",USA,"$80,000,000 ","$70,459 ","United States, United Kingdom",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Night at the Museum: Kahmunrah Rises Again,5.0,2022,December,PG,77,"Matt Danner, Justin Lovell","Joshua Bassett, Jamie Demetriou, Alice Isaaz, Christie Bahna",USA,Unknown,Unknown,United States,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thor: Love and Thunder,6.3,2022,July,PG-13,118,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson",Australia,"$250,000,000 ","$760,928,081 ","Australia, United States",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanny,5.2,2022,December,R,99,Nikyatu Jusu,"Anna Diop, Michelle Monaghan, Sinqua Walls, Morgan Spector",Unknown,Unknown,Unknown,United States,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Empire of Light,6.6,2022,December,R,115,Sam Mendes,"Olivia Colman, Micheal Ward, Colin Firth, Toby Jones",UK,Unknown,"$616,584 ","United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Mean One,4.2,2022,December,,93,Steven LaMorte,"David Howard Thornton, Krystle Martin, Chase Mullins, Amy Schumacher",Unknown,Unknown,"$520,200 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Slumberland,6.7,2022,November,PG,117,Francis Lawrence,"Jason Momoa, Marlow Barkley, Chris O Dowd, Kyle Chandler",Canada,"$150,000,000 ",Unknown,United States,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aftersun,7.7,2022,November,R,102,Charlotte Wells,"Paul Mescal, Frankie Corio, Celia Rowlson Hall, Sally Messham",Turkey,Unknown,"$2,229,943 ","United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roald Dahl's Matilda the Musical,7.4,2022,December,PG,117,Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham",UK,Unknown,"$15,504,227 ","United Kingdom, United States",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Devotion,7.0,2022,November,PG-13,139,J D Dillard,"Jonathan Majors, Glen Powell, Christina Jackson, Thomas Sadoski",USA,"$90,000,000 ","$19,949,405 ",United States,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrifier 2,6.2,2022,October,Not Rated,138,Damien Leone,"Lauren LaVera, David Howard Thornton, Jenna Kanell, Kailey Hyman",USA,"$250,000 ","$12,150,025 ",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
See How They Run,6.5,2022,September,PG-13,98,Tom George,"Kieran Hodgson, Pearl Chanda, Gregory Cox, Harris Dickinson",UK,"$40,000,000 ","$21,966,634 ","United States, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Stranger,6.6,2022,October,TV-MA,117,Thomas M Wright,"Joel Edgerton, Sean Harris, Jada Alberts, Cormac Wright",Australia,Unknown,"$139,087 ",Australia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Elvis,7.4,2022,June,PG-13,159,Baz Luhrmann,"Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson",Australia,"$85,000,000 ","$286,040,048 ","United States, Australia",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Weird: The Al Yankovic Story,7.0,2022,November,TV-14,108,Eric Appel,"Diedrich Bader, Daniel Radcliffe, Lin Manuel Miranda, Richard Aaron Anderson",USA,"$8,000,000 ",Unknown,United States,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Gray Man,6.5,2022,July,PG-13,122,"Anthony Russo, Joe Russo","Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton",France,"$200,000,000 ","$454,023 ","United States, Czech Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RRR,7.9,2022,March,Not Rated,187,S S Rajamouli,"N T Rama Rao Jr , Ram Charan Teja, Ajay Devgn, Alia Bhatt",Bulgaria,"₹3,500,000,000","$102,973,162 ",India,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitney Houston: I Wanna Dance with Somebody,6.8,2022,December,PG-13,146,Kasi Lemmons,"Naomi Ackie, Stanley Tucci, Ashton Sanders, Tamara Tunie",USA,Unknown,"$2,730,000 ",United States,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Binge 2: It's A Wonderful Binge,4.7,2022,December,TV-MA,98,Jordan VanDina,"Kaitlin Olson, Danny Trejo, Patty Guggenheim, Eduardo Franco",USA,Unknown,Unknown,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The School for Good and Evil,5.8,2022,October,PG-13,147,Paul Feig,"Kit Young, Sophia Anne Caruso, Cate Blanchett, Liam Woon",UK,Unknown,Unknown,United States,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
